Date : 2023-08-05 21:16:21
Directory : /Users/weapp/ownProjects/seek-backend/src
Total : 126 files,  4386 codes, 102 comments, 533 blanks, all 5021 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        126 |      4,386 |        102 |        533 |      5,021 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/weapp/ownProjects/seek-backend/src/db/models/userChat.ts                          | TypeScript |         59 |          0 |          4 |         63 |
| /Users/weapp/ownProjects/seek-backend/src/db/models/userQuestion.ts                      | TypeScript |         35 |          0 |          4 |         39 |
| /Users/weapp/ownProjects/seek-backend/src/middleware/authJwt.ts                          | TypeScript |         23 |          0 |          3 |         26 |
| /Users/weapp/ownProjects/seek-backend/src/middleware/authKey.ts                          | TypeScript |         21 |         15 |          4 |         40 |
| /Users/weapp/ownProjects/seek-backend/src/middleware/errorHandler.ts                     | TypeScript |         22 |          2 |          4 |         28 |
| /Users/weapp/ownProjects/seek-backend/src/middleware/fileUpload.ts                       | TypeScript |          3 |          0 |          2 |          5 |
| /Users/weapp/ownProjects/seek-backend/src/middleware/index.ts                            | TypeScript |         18 |          0 |          2 |         20 |
| /Users/weapp/ownProjects/seek-backend/src/middleware/parseQueryParams.ts                 | TypeScript |         30 |          1 |          4 |         35 |
| /Users/weapp/ownProjects/seek-backend/src/middleware/translations.ts                     | TypeScript |         22 |          2 |          3 |         27 |
| /Users/weapp/ownProjects/seek-backend/src/middleware/verifyAllowedEndpoint.ts            | TypeScript |         30 |          0 |          3 |         33 |
| /Users/weapp/ownProjects/seek-backend/src/middleware/verifySignUp.ts                     | TypeScript |         19 |          0 |          2 |         21 |
| /Users/weapp/ownProjects/seek-backend/src/routes/api/auth/index.ts                       | TypeScript |          5 |          0 |          3 |          8 |
| /Users/weapp/ownProjects/seek-backend/src/routes/api/auth/users/index.ts                 | TypeScript |         20 |          0 |          4 |         24 |
| /Users/weapp/ownProjects/seek-backend/src/routes/api/db/answers/index.ts                 | TypeScript |         13 |          0 |          3 |         16 |
| /Users/weapp/ownProjects/seek-backend/src/routes/api/db/chats/index.ts                   | TypeScript |         13 |          0 |          3 |         16 |
| /Users/weapp/ownProjects/seek-backend/src/routes/api/db/index.ts                         | TypeScript |         19 |          0 |          3 |         22 |
| /Users/weapp/ownProjects/seek-backend/src/routes/api/db/messages/index.ts                | TypeScript |         13 |          0 |          3 |         16 |
| /Users/weapp/ownProjects/seek-backend/src/routes/api/db/notificationTokens/index.ts      | TypeScript |         13 |          0 |          4 |         17 |
| /Users/weapp/ownProjects/seek-backend/src/routes/api/db/questions/index.ts               | TypeScript |         13 |          0 |          3 |         16 |
| /Users/weapp/ownProjects/seek-backend/src/routes/api/db/readMessages/index.ts            | TypeScript |         13 |          0 |          3 |         16 |
| /Users/weapp/ownProjects/seek-backend/src/routes/api/db/userChats/index.ts               | TypeScript |         14 |          0 |          3 |         17 |
| /Users/weapp/ownProjects/seek-backend/src/routes/api/db/users/chats/index.ts             | TypeScript |         16 |          0 |          4 |         20 |
| /Users/weapp/ownProjects/seek-backend/src/routes/api/db/users/index.ts                   | TypeScript |         17 |          0 |          3 |         20 |
| /Users/weapp/ownProjects/seek-backend/src/routes/api/db/users/question/index.ts          | TypeScript |         11 |          0 |          4 |         15 |
